sentence,label
"До піци я завжди додаю цібулю, а моя дівчина перець.","До піци я завжди додаю цібулю, а моя дівчина додає перець."
"Щось купили на ринку, але ще не сказали що.","Щось купили на ринку, але ще не сказали, що купили."
"Завтра я принесу лід, а ти пиво.","Завтра я принесу лід, а ти принесеш пиво."
"Ці квитки на концерт було куплено для нас, а не для вас.","Ці квитки на концерт було куплено для нас, а не для вас."
Чому?,Чому?
"Моя дочка хоче стати не просто простою бізнесменкою, а найбагатшою у світі.","Моя дочка хоче стати не просто бізнесменкою, а найбагатшою у світі."
Вона вважає його доброю людиною і він ії.,Вона вважає його доброю людиною і він вважає її.
"Я про все шкодую, а батько ні про що.","Я про все шкодую, а батько ні про що не шкодує."
"Я добре розумію математику, але не біологію.","Я добре розумію математику, але не розумію біологію."
"Розмоляю українською, але не дуже добре.","Розмовляю українською, але не дуже добре."
"В Америці ми прикрашаемо ялку на Різдво, а в Россії на Новий рік.","В Америці ми прикрашаемо ялку на Різдво, а в Россії на Новий рік."
"Хочу поїхати за кордон, але не знаю куди.","Хочу поїхати за кордон, але не знаю, куди."
"Лідія переїде в Харків, а ії сестра в Одесу.","Лідія переїде в Харків, а ії сестра переїде в Одесу."
"Він відремонтував моє авто, але я не розумію як.","Він відремонтував моє авто, але я не розумію, як він це зробив."
"Перший космонавт з Радянського Союза полетів у космос 12 квітня, 1961, а перший з США 5 травня 1961.","Перший космонавт з Радянського Союза полетів у космос 12 квітня 1961, а перший з США полетів 5 травня 1961."
"Я розмовляю голосніше, ніж Іван.","Я розмовляю голосніше, ніж Іван розмовляє."
"Там я уперше спробував сало, а ти зрази.","Там я уперше спробував сало, а ти спробував зрази."
"На 5-ому каналі прогноз погоди обіцяє трошки дощу, а на 8-ому каналі реальний ураган.","На 5-ому каналі прогноз погоди обіцяє трошки дощу, а на 8-ому каналі обіцяють реальний ураган."
Мої батьки мешкають у Чернігові і сестра теж.,Мої батьки мешкають у Чернігові і сестра теж мешкає.
"Я волію їсти зрази з яловичини, а ти з свинини.","Я волію їсти зрази з яловичини, а ти волієш їсти зрази з свинини."
"В Україні зараз борються з ворогами, а зараз в Америці одне з одним.","В Україні зараз борються з ворогами, а в Америці борються одне з одним."
"Іван пише книгу, а Микола музику.","Іван пише книгу, а Микола пише музику."
"Вони ненавидять наш дім, але люблять свій.","Вони ненавидять наш дім, але люблять свій дім."
"Вони купили надувний замок, але не ясно кому.","Вони купили надувний замок, але не ясно, кому вони купили надувний замок."
"Коти бавляться малими іграшками, а пси великими.","Коти бавляться малими іграшками, а пси бавляться великими."
"Данило та Павло використовують у спортзалі великі гантелі, а Іван малі.","Данило та Павло використовують у спортзалі великі гантелі, а Іван використовує малі."
"У минулому році ми вирощували тільки картоплю, але у цьому році і картоплю, і огірки.","У минулому році ми вирощували тільки картоплю, але у цьому році вирощуємо і картоплю, і огірки."
Багато?,Багато чого?
"Добрі студенти завжди роблять домашне завдання, а погані студенти ніколи.","Добрі студенти завжди роблять домашне завдання, а погані студенти ніколи не роблять домашне завдання."
