sentence,label
"США офіційно проголосили незалежність від Велико-Британії у 1783 році, а Україна від Радянського Союза у 1991 році.","США офіційно проголосили незалежність від Велико-Британії у 1783 році, а Україна ___ від Радянського Союза у 1991 році."
"Вона знає більше про свою країну, ніж він.","Вона знає більше про свою країну, ніж він ___."
"Чоловік описує якесь місто, але нам незрозуміло, яке.","Чоловік описує якесь місто, але нам незрозуміло, яке."
"Я збираюся купити машину, а ти продати.","Я збираюся купити машину, а ти ___ продати."
"Моя дочка хоче стати не просто простою бізнесменкою, а найбагатшою у світі.","Моя дочка хоче стати не просто простою бізнесменкою, а ___ найбагатшою у світі."
"Подруга завжди рекомендує мені нову музику, але я ще слухаю стару.","Подруга завжди рекомендує мені нову музику, але я ще слухаю стару."
"Закон в США забороняє володіння наркотиками, не вживання.","Закон в США забороняє володіння наркотиками, не вживання."
"В Україні зараз борються з ворогами, а зараз в Америці одне з одним.","В Україні зараз борються з ворогами, а зараз в Америці ___ одне з одним."
"Лідія переїде в Харків, а ії сестра в Одесу.","Лідія переїде в Харків, а ії сестра ___ в Одесу."
"Ми поїдемо до парку машиною, а вони велосипедом.","Ми поїдемо до парку машиною, а вони ___ велосипедом."
"Він має уродини у червні, а вона у жовтні.","Він має уродини у червні, а вона ___ у жовтні."
"Максимові подобається чай, а Галині кава.","Максимові подобається чай, а Галині ___ кава."
"Ми прийшли сюди тому, що ми хотіли.","Ми прийшли сюди тому, що ми хотіли."
"Учора тут падав дощ, а не сніг.","Учора тут падав дощ, а не ___ сніг."
"Офіцери носять кашкети, а солдати прості пілотки.","Офіцери носять кашкети, а солдати ___ прості пілотки."
"Його вбили, але не знаю чому.","Його вбили, але не знаю чому ___."
"В англійській мові неможливо зробити складний іменник з 20-и слів, а в німецкій можливо.","В англійській мові неможливо зробити складний іменник з 20-и слів, а в німецькій ___ можливо."
"У зоопарку моя мати завжди любить дивитися на тюленів, а мій батько на пінгвінів.","У зоопарку моя мати завжди любить дивитися на тюленів, а мій батько ___ на пінгвінів."
Мої батьки мешкають у Чернігові і сестра теж.,Мої батьки мешкають у Чернігові і сестра ___ теж.
"Він говорить з чужим акцентом, але ми не знаємо чому.","Він говорить з чужим акцентом, але ми не знаємо чому ___."
"Він сумнівається, що колись виграє у лото, але все одно сподівається.","Він сумнівається, що колись виграє у лото, але все одно сподівається."
"Хоч ми хотіли порушити закон, ми не наважилися.","Хоч ми хотіли порушити закон, ми не наважилися."
"Батько не їсть зелену цібулю, тільки червону.","Батько не їсть зелену цібулю, тільки ___ червону."
"Моя мати працює не тільки вдень, а і ввечері.","Моя мати працює не тільки вдень, а і ___ ввечері."
